material_and_condition,Y_oxygenate,T,x_P,w_r_s,w_r_p,w_r_d,w_r_val,w_e_H,w_e_L,w_EA,w_IP,w_EN
820,1.81658754161744,360,0.1,1.365775,1.52759,0.81753,0.77301,-4.33888196425302,-3.36886597224474,-0.652271751007246,8.6200382482759,3.98388324863433
821,7.01756471832567,320,0.5,1.1268,1.28285,1.08956,0.86696,-4.87109095986828,-0.021010999826898,-1.03320556303884,9.15068241610539,4.05873842653328
822,5.31090255497857,340,0.025,1.4138875,1.57076,0.7598025,0.7486725,-4.19697371542217,-3.9544697174201,-0.60510735166913,8.46698696881306,3.93093980857197
823,1.62814690604312,360,0.25,1.280125,1.43255,0.911475,0.800175,-4.48791746302515,-2.06287748300446,-0.824234759020464,8.75476321361819,3.96526422729886
824,8.80468575014848,350,0.025,1.398025,1.58381,0.7920675,0.7809375,-4.39914521375653,-4.15664121575446,-0.488656037663651,8.72405335918817,4.11769866076226
825,7.78550333809116,340,0.7,1.009075,1.15903,1.22199,0.91035,-5.11473195786098,1.67537998619695,-1.23661150394414,9.38744156775624,4.07541503190605
826,7.04543858098001,320,0.025,1.4138875,1.57076,0.7598025,0.7486725,-4.19697371542217,-3.9544697174201,-0.60510735166913,8.46698696881306,3.93093980857197
827,4.45411432261975,340,0.25,1.26955,1.44125,0.932985,0.821685,-4.62269846191473,-2.19765848189403,-0.746600549683478,8.92614080720159,4.08977012875906
828,4.76816617997582,340,0.175,1.3176625,1.48442,0.8752575,0.7973475,-4.48079021308387,-2.78326222706939,-0.699436150345362,8.77308952773875,4.03682668869669
829,5.91835069397144,300,0.4,1.194475,1.33751,1.00542,0.82734,-4.63695296179728,-0.75688899376418,-0.996197767033683,8.88948817896047,3.94664520596339
830,6.63397548155529,300,0.45,1.1624,1.30873,1.043905,0.843565,-4.73155846101785,-0.36648649698061,-1.02764069992576,8.99152236526903,3.98194083267163
831,4.87450322793369,340,0.325,1.226725,1.39373,0.9799575,0.8352675,-4.69721621130079,-1.54466423727389,-0.832582053690087,8.99350328987273,4.08046061809132
832,5.24292028251129,300,0.45,1.1624,1.30873,1.043905,0.843565,-4.73155846101785,-0.36648649698061,-1.02764069992576,8.99152236526903,3.98194083267163
833,1.68490368025715,340,0.65,1.044675,1.18491,1.176335,0.886955,-4.97519945901055,1.32990448904324,-1.23104664083106,9.22828151691987,3.99861743804441
834,2.75356387213651,300,0.05,1.41195,1.54477,0.750365,0.728105,-4.06456846651302,-3.57956047050888,-0.72434109723115,8.28950060385614,3.78257975331249
835,7.02906539408702,230,0.5,1.144425,1.26835,1.05371,0.83111,-4.64645596171899,0.20362399832239,-1.16259591193382,8.86505309346638,3.85122859076628
836,4.54936929765849,215,0.45,1.180025,1.29423,1.008055,0.807715,-4.50692346286857,-0.141851498831323,-1.15703104882074,8.70589304263002,3.77443099690464
837,3.72184398994564,215,0.45,1.18355,1.29133,1.000885,0.800545,-4.46199646323871,-0.096924499201465,-1.18290911859973,8.64876717810222,3.73292902975124
838,3.73669179174958,245,0.3,1.265675,1.38927,0.91411,0.78055,-4.35788796409643,-1.4478399880716,-0.985068040807519,8.57116807728774,3.79305001824011
839,4.87530953167259,340,0.175,1.32295,1.48007,0.8645025,0.7865925,-4.41339971363909,-2.7158717276246,-0.738253255013855,8.68740073094705,3.97457373796659
840,9.64177787222168,340,0.075,1.3677125,1.55358,0.8269675,0.7935775,-4.47128721316217,-3.74377521915596,-0.533038005445226,8.79752461323283,4.1322433038938
841,6.5479373719251,215,0.55,1.1194,1.23377,1.077855,0.832995,-4.65120746167985,0.683880494365674,-1.24579498438389,8.85283555071934,3.80352028316773
842,12.3283342561122,300,0.65,1.04115,1.18781,1.183505,0.894125,-5.02012645864041,1.28497748941338,-1.20516857105206,9.28540738144767,4.04011940519781
843,1.7803481046819,290,0.45,1.180025,1.29423,1.008055,0.807715,-4.50692346286857,-0.141851498831323,-1.15703104882074,8.70589304263002,3.77443099690464
844,1.80034631609578,290,0.55,1.1194,1.23377,1.077855,0.832995,-4.65120746167985,0.683880494365674,-1.24579498438389,8.85283555071934,3.80352028316773
845,6.62364337405171,250,0.5,1.137375,1.27415,1.06805,0.84545,-4.73630996097871,0.113769999062675,-1.11083977237583,8.97930482252199,3.93423252507308
846,10.6587925829162,300,0.65,1.04115,1.18781,1.183505,0.894125,-5.02012645864041,1.28497748941338,-1.20516857105206,9.28540738144767,4.04011940519781
847,5.58731909367656,340,0.4,1.1839,1.34621,1.02693,0.84885,-4.77173396068686,-0.891669992653752,-0.918563557696696,9.06086577254387,4.07115110742359
848,4.16706530774523,350,0.25,1.2642625,1.4456,0.94374,0.83244,-4.69008896135951,-2.26504898133882,-0.707783445014985,9.0118296039933,4.15202307948915
849,4.00731115113837,360,0.325,1.2214375,1.39808,0.9907125,0.8460225,-4.76460671074558,-1.61205473671868,-0.793764949021594,9.07919208666443,4.14271356882142
850,7.4662374402696,350,0.075,1.3677125,1.55358,0.8269675,0.7935775,-4.47128721316217,-3.74377521915596,-0.533038005445226,8.79752461323283,4.1322433038938
851,1.85037631749021,360,0.325,1.2320125,1.38938,0.9692025,0.8245125,-4.629825711856,-1.47727373782911,-0.87139915835858,8.90781449308103,4.01820766736122
852,4.29480557242308,230,0.35,1.237125,1.35759,0.945425,0.789605,-4.40756646368714,-1.01251049165818,-1.04238904347859,8.6160763990685,3.78684367779495
853,3.84388290633934,320,0.1,1.372825,1.52179,0.80319,0.75867,-4.24902796499331,-3.27901197298503,-0.704027890565237,8.5057865192203,3.90087931432753
854,4.15617258651005,360,0.25,1.2642625,1.4456,0.94374,0.83244,-4.69008896135951,-2.26504898133882,-0.707783445014985,9.0118296039933,4.15202307948915
